platform,account,published_at,title,url,views,likes,comments,shares,saves,followers_gained,duration_seconds
TikTok,theillcollective,2026-08-05T20:45:00,wrote this at 3am,https://tiktok.com/@theillcollective/post/100001,2387,286,29,54,44,5,27
TikTok,theillcollective,2026-08-06T08:45:00,first take vs final mix,https://tiktok.com/@theillcollective/post/100088,8959,1116,122,199,331,30,27
YouTube,The ill collective,2026-08-06T22:00:00,the demo vs the master,https://youtube.com/@theillcollective/post/100153,418,25,0,2,0,1,34
YouTube,The ill collective,2026-08-07T08:30:00,making noise sound pretty,https://youtube.com/@theillcollective/post/100029,417,18,1,1,0,0,45
TikTok,theillcollective,2026-08-07T19:00:00,layering 40 vocals,https://tiktok.com/@theillcollective/post/100151,11835,622,48,66,118,70,34
YouTube,The ill collective fans,2026-08-08T08:15:00,"one mic, one take",https://youtube.com/@theillcollectivefans/post/100049,762,22,1,2,0,2,22
YouTube,The ill collective,2026-08-08T18:15:00,behind the last single,https://youtube.com/@theillcollective/post/100095,7282,340,29,78,0,44,8
TikTok,theillcollective,2026-08-08T18:45:00,turning my worst take into a hook,https://tiktok.com/@theillcollective/post/100083,7156,737,29,136,155,34,22
YouTube,The ill collective fans,2026-08-08T19:45:00,making noise sound pretty,https://youtube.com/@theillcollectivefans/post/100125,1994,188,11,38,0,12,22
TikTok,theillcollective,2026-08-10T12:30:00,sampling a cassette I found,https://tiktok.com/@theillcollective/post/100079,33633,3785,131,406,562,64,58
Instagram,the.ill.collective,2026-08-12T21:15:00,the lyric that got cut,https://instagram.com/@the.ill.collective/post/100168,4581,282,20,59,61,11,34
YouTube,The ill collective,2026-08-14T18:15:00,POV: the drop hits,https://youtube.com/@theillcollective/post/100160,1506,54,2,5,0,9,27
TikTok,theillcollective,2026-08-14T19:30:00,behind the last single,https://tiktok.com/@theillcollective/post/100134,20356,3125,155,754,578,87,27
TikTok,theillcollective,2026-08-15T20:30:00,the demo vs the master,https://tiktok.com/@theillcollective/post/100156,871,122,12,29,20,5,8
Instagram,the.ill.collective,2026-08-17T17:45:00,the bridge nobody asked for,https://instagram.com/@the.ill.collective/post/100058,1213,49,4,10,8,6,15
TikTok,theillcollective,2026-08-18T18:30:00,found my old lyric notebook,https://tiktok.com/@theillcollective/post/100051,10439,494,34,56,66,19,8
TikTok,theillcollective,2026-08-18T21:00:00,behind the last single,https://tiktok.com/@theillcollective/post/100165,1139,128,10,20,28,6,27
